"predSpecific","predOportunistic","convRateRatio","catchProbaRatio","preyOffspRatio","maxConsRatio","replicatesNb","prey1densBeforeMean","prey1densBeforeMax","prey1densBeforeMin","prey2densBeforeMean","prey2densBeforeMax","prey2densBeforeMin","prey1growthBeforeMean","prey1growthBeforeMax","prey1growthBeforeMin","prey2growthBeforeMean","prey2growthBeforeMax","prey2growthBeforeMin","prey1densAfterMean","prey1densAfterMax","prey1densAfterMin","prey2densAfterMean","prey2densAfterMax","prey2densAfterMin","predatorDensMean","predatorDensMax","predatorDensMin","prey1growthAfterMean","prey1growthAfterMax","prey1growthAfterMin","prey2growthAfterMean","prey2growthAfterMax","prey2growthAfterMin","predatorGrowthMean","predatorGrowthMax","predatorGrowthMin","prey1catchesMean","prey1catchesMax","prey1catchesMin","prey2catchesMean","prey2catchesMax","prey2catchesMin"
0,0,1.1,1,1,1,20,501.745,506.3,496.1,503.655,509.15,499.2,-0.00102437585118809,0.0124992923056498,-0.00935660589252937,0.000477733146725493,0.0148812556986419,-0.0146864238136133,406.065384615385,414.75,396,406.773076923077,413.6,397.3,126.365384615385,132.05,120.95,0.000875054043559901,0.0190168224918558,-0.017335023565668,0.000627265630596897,0.0233121216533503,-0.0185200436833532,0.00326601820245732,0.0455109935652995,-0.0319181300173488,4.85961538461538,5.6,4.15,4.975,5.95,4.4
0,0,1.5,1,1,1,20,501.215,504.25,498.9,503.065,506.25,497.9,0.000561157937573628,0.00610005362847964,-0.00807342209350586,0.000312620016421753,0.0147310878856469,-0.0108361281094139,349.607692307692,361.6,338.8,348.676923076923,358.25,339.2,182.382692307692,189.25,171.1,1.62070619892304e-05,0.02311406965913,-0.023941022533298,-0.000447649608064812,0.0183583203337001,-0.0249727095653134,0.00605796200851582,0.0587480401073257,-0.0311598385649017,5.68653846153846,6.6,5,5.80961538461538,6.65,4.55
0,0,2,1,1,1,20,503.015,506.4,497.8,502.335,509.4,498.25,0.00107993611648796,0.0124519321484401,-0.00868049183663949,-0.00117218718882152,0.0191805542340504,-0.013628445144735,295.651923076923,356.45,220.25,286.209615384615,342.55,212.35,209.015384615385,289.2,132.65,0.0172129136016446,0.129335154896397,-0.0815967480637789,0.0183848158334008,0.116785995517855,-0.0815458681933682,0.0388836812770646,0.198759538108524,-0.130617940721245,4.90192307692308,7.45,3.1,4.64423076923077,6.45,2.6
0,0,2.5,1,1,1,20,502.8,505.9,498.55,501.9,505.1,497.1,0.001945530519147,0.00937660453409758,-0.0082158565294159,0.000610309962342178,0.0117086120176913,-0.0088621450067606,261.661538461538,342.8,194.55,257.253846153846,335.75,183.55,208.132692307692,301.25,145.25,0.0298700816818622,0.125916348918734,-0.0957521214746268,0.0308960513612314,0.117903274914542,-0.0807571887924317,0.00262839918906711,0.165759956586746,-0.141986092458833,4.34807692307692,6.5,2.7,4.27115384615385,6.5,2.65
0,0,3,1,1,1,20,502.2,504.75,497.15,503.67,508.15,496.7,-0.000861151021168761,0.00443947501096642,-0.0124898842085601,0.00126035157158994,0.0178423332365266,-0.0155240733596966,243.603846153846,380.6,129.05,249.575,406.05,126.7,235.507692307692,402.1,64.95,0.00340597974126831,0.194820001937559,-0.192808524554032,0.00240707951587412,0.208562409862868,-0.204239978211993,0.0211879092946255,0.307578724755613,-0.240822464007707,3.6,6.25,0.75,3.63846153846154,6.5,1
0,0,5,1,1,1,6,503.733333333333,510.333333333333,497.333333333333,501.316666666667,506.666666666667,496.833333333333,-0.00237960421830862,0.00658395142789071,-0.0181506479977509,-0.0012726753818559,0.0198419207734463,-0.0168769086595275,282.076923076923,425.666666666667,141.166666666667,301.865384615385,451.833333333333,155.5,214.942307692308,356.166666666667,12.3333333333333,0.0377901994974943,0.360126521340444,-0.173279638205102,0.0238748170733328,0.307736112701838,-0.131513349090562,0.152283275041637,0.551198175054816,-0.275655825282251,2.04487179487179,4,0.166666666666667,1.83333333333333,3.66666666666667,0
0,1,1.1,1,1,1,20,501.725,506.95,496.25,502.535,506.4,498.85,0.000575482298312493,0.0123193105533029,-0.0120431369042397,-0.000871104058738917,0.010259073220418,-0.0104993272746043,410.488461538462,419.2,401.85,403.625,411.8,395.2,124.509615384615,130.7,120.5,0.00136902095905132,0.0172594886028191,-0.0213300482208266,0.000970905287837246,0.0196628899853119,-0.0168001246627783,0.00395395094956943,0.042034548127169,-0.0386606347566705,4.89615384615385,5.8,3.75,4.88269230769231,5.95,4.05
0,1,1.5,1,1,1,20,502.135,505.9,497.95,502.155,505.85,497.5,0.000604325174706737,0.00878774888851761,-0.0108134491117737,0.000142371565180452,0.00700677081928949,-0.00610443737928059,353.261538461538,363.45,342.8,341.411538461538,352.5,332,180.942307692308,187.8,175.25,0.00257292439559954,0.0441628034060116,-0.0222884058181385,0.00150267732427326,0.0285023495571511,-0.0245969725368526,0.00323162776260496,0.0250541721317717,-0.0274673866757969,5.81346153846154,7.5,4.75,5.76538461538462,7,4.75
0,1,2,1,1,1,20,501.82,508.3,497.85,502.25,508.25,495.3,-0.000554833916844948,0.0181037520653691,-0.0147296342934911,0.000760288873678019,0.0251139928213081,-0.0146399690194069,300.957692307692,359.55,211.65,284.471153846154,346.45,194.75,207.038461538462,308.15,139.1,0.017254838002357,0.12186977430353,-0.0999101241784728,0.0169634889852591,0.116481222478814,-0.102743734306054,0.041949919364233,0.17150922322054,-0.1730382168058,4.93846153846154,7.4,2.85,4.85384615384615,7.7,2.75
0,1,2.5,1,1,1,20,503.515,506.1,501.65,502.235,508.05,499.15,0.00270653861605173,0.0105216736766978,-0.00193167966994422,0.000159096483128834,0.0115214081807305,-0.0121857333861233,270.611538461538,358.15,174.05,259.569230769231,357.25,173.3,198.315384615385,328.1,109.45,0.0412691978751206,0.178891652438823,-0.12176186441237,0.0395357722581799,0.185563642979915,-0.127079514992648,0.0236541307010574,0.22454055595959,-0.204815746052792,3.93461538461538,6.6,1.85,4.00192307692308,7,1.95
